Tracker Name,New Georeferenced Column,,,,,,
BMW OF DARIEN,POINT (-73.4764687 41.072882),,,,,,
Dunkin’ - Tesla Supercharger,NONE,POINT (-72.773473 41.527367),,,,,,
Town of Beacon Falls - Commuter Lot,POINT (-73.065583 41.44548100000001),,,,,,
OLD SAYBROOK VW,POINT (-72.3825 41.3102778),,,,,,
Fairfield Rail Station,POINT (-73.264511 41.143125),,,,,,
FOUNDRY66,POINT (-72.0741188 41.525611),,,,,,
Corbins Corner Shopping Center - Tesla Supercharger,NONE,POINT (-72.759717 41.722672),,,,,,
GLASTONBURYEV,POINT (-72.6086744 41.711717),,,,,,
Whole Foods Market,NONE,POINT (-73.476189 41.072919),,,,,,
